date Tue Apr 7 05:11:33.914 pm 2020
base hex  timestamps absolute
internal events logged
// version 11.0.0
  74.015365 CAN 2 Status:chip status error active
  75.015365 CAN 1 Status:chip status error active
  75.015365 CAN 2 Status:chip status error active
  76.015366 CAN 1 Status:chip status error active
  76.015366 CAN 2 Status:chip status error active
  77.015366 CAN 1 Status:chip status error active
  77.015366 CAN 2 Status:chip status error active
  78.015366 CAN 1 Status:chip status error active
  78.015366 CAN 2 Status:chip status error active
  79.015367 CAN 1 Status:chip status error active
  79.015367 CAN 2 Status:chip status error active
  80.015367 CAN 1 Status:chip status error active
  80.015367 CAN 2 Status:chip status error active
  81.015367 CAN 1 Status:chip status error active
  81.015367 CAN 2 Status:chip status error active
  82.015367 CAN 1 Status:chip status error active
  82.015367 CAN 2 Status:chip status error active
  83.015368 CAN 1 Status:chip status error active
  83.015368 CAN 2 Status:chip status error active
  84.015368 CAN 1 Status:chip status error active
  84.015368 CAN 2 Status:chip status error active
  85.015368 CAN 1 Status:chip status error active
  85.015368 CAN 2 Status:chip status error active
  86.015369 CAN 1 Status:chip status error active
  86.015369 CAN 2 Status:chip status error active
  87.015369 CAN 1 Status:chip status error active
  87.015369 CAN 2 Status:chip status error active
  88.015369 CAN 1 Status:chip status error active
  88.015369 CAN 2 Status:chip status error active
  89.015370 CAN 1 Status:chip status error active
  89.015370 CAN 2 Status:chip status error active
  90.015370 CAN 1 Status:chip status error active
  90.015370 CAN 2 Status:chip status error active
  91.015370 CAN 1 Status:chip status error active
  91.015370 CAN 2 Status:chip status error active
  92.015371 CAN 1 Status:chip status error active
  92.015371 CAN 2 Status:chip status error active
  93.015371 CAN 1 Status:chip status error active
  93.015371 CAN 2 Status:chip status error active
  94.015371 CAN 1 Status:chip status error active
  94.015371 CAN 2 Status:chip status error active
  95.015372 CAN 1 Status:chip status error active
  95.015372 CAN 2 Status:chip status error active
  96.015372 CAN 1 Status:chip status error active
  96.015372 CAN 2 Status:chip status error active
  97.015372 CAN 1 Status:chip status error active
  97.015372 CAN 2 Status:chip status error active
  98.015372 CAN 1 Status:chip status error active
  98.015372 CAN 2 Status:chip status error active
  99.015373 CAN 1 Status:chip status error active
  99.015373 CAN 2 Status:chip status error active
 100.015373 CAN 1 Status:chip status error active
 100.015373 CAN 2 Status:chip status error active
 101.015373 CAN 1 Status:chip status error active
 101.015373 CAN 2 Status:chip status error active
 102.015374 CAN 1 Status:chip status error active
 102.015374 CAN 2 Status:chip status error active
 103.015374 CAN 1 Status:chip status error active
 103.015374 CAN 2 Status:chip status error active
 104.015374 CAN 1 Status:chip status error active
 104.015374 CAN 2 Status:chip status error active
 105.015375 CAN 1 Status:chip status error active
 105.015375 CAN 2 Status:chip status error active
 106.015375 CAN 1 Status:chip status error active
 106.015375 CAN 2 Status:chip status error active
 107.015375 CAN 1 Status:chip status error active
 107.015375 CAN 2 Status:chip status error active
 108.015376 CAN 1 Status:chip status error active
 108.015376 CAN 2 Status:chip status error active
 109.015376 CAN 1 Status:chip status error active
 109.015376 CAN 2 Status:chip status error active
 110.015376 CAN 1 Status:chip status error active
 110.015376 CAN 2 Status:chip status error active
 111.015377 CAN 1 Status:chip status error active
 111.015377 CAN 2 Status:chip status error active
 112.015377 CAN 1 Status:chip status error active
 112.015377 CAN 2 Status:chip status error active
 113.015377 CAN 1 Status:chip status error active
 113.015377 CAN 2 Status:chip status error active
 114.015377 CAN 1 Status:chip status error active
 114.015377 CAN 2 Status:chip status error active
 115.015378 CAN 1 Status:chip status error active
 115.015378 CAN 2 Status:chip status error active
 116.015378 CAN 1 Status:chip status error active
 116.015378 CAN 2 Status:chip status error active
 117.015378 CAN 1 Status:chip status error active
 117.015378 CAN 2 Status:chip status error active
 118.015379 CAN 1 Status:chip status error active
 118.015379 CAN 2 Status:chip status error active
 119.015379 CAN 1 Status:chip status error active
 119.015379 CAN 2 Status:chip status error active
 120.015379 CAN 1 Status:chip status error active
 120.015379 CAN 2 Status:chip status error active
 121.015380 CAN 1 Status:chip status error active
 121.015380 CAN 2 Status:chip status error active
 122.015380 CAN 1 Status:chip status error active
 122.015380 CAN 2 Status:chip status error active
 123.015380 CAN 1 Status:chip status error active
 123.015380 CAN 2 Status:chip status error active
 124.015381 CAN 1 Status:chip status error active
 124.015381 CAN 2 Status:chip status error active
 125.015381 CAN 1 Status:chip status error active
 125.015381 CAN 2 Status:chip status error active
 126.015381 CAN 1 Status:chip status error active
 126.015381 CAN 2 Status:chip status error active
 127.015382 CAN 1 Status:chip status error active
 127.015382 CAN 2 Status:chip status error active
 128.015382 CAN 1 Status:chip status error active
 128.015382 CAN 2 Status:chip status error active
 129.015382 CAN 1 Status:chip status error active
 129.015382 CAN 2 Status:chip status error active
 130.015382 CAN 1 Status:chip status error active
 130.015382 CAN 2 Status:chip status error active
 131.015383 CAN 1 Status:chip status error active
 131.015383 CAN 2 Status:chip status error active
 132.015383 CAN 1 Status:chip status error active
 132.015383 CAN 2 Status:chip status error active
 133.015383 CAN 1 Status:chip status error active
 133.015383 CAN 2 Status:chip status error active
 134.015384 CAN 1 Status:chip status error active
 134.015384 CAN 2 Status:chip status error active
 135.015384 CAN 1 Status:chip status error active
 135.015384 CAN 2 Status:chip status error active
 136.015384 CAN 1 Status:chip status error active
 136.015384 CAN 2 Status:chip status error active
 137.015385 CAN 1 Status:chip status error active
 137.015385 CAN 2 Status:chip status error active
 138.015385 CAN 1 Status:chip status error active
 138.015385 CAN 2 Status:chip status error active
 139.015385 CAN 1 Status:chip status error active
 139.015385 CAN 2 Status:chip status error active
 140.015386 CAN 1 Status:chip status error active
 140.015386 CAN 2 Status:chip status error active
 141.015386 CAN 1 Status:chip status error active
 141.015386 CAN 2 Status:chip status error active
 142.015386 CAN 1 Status:chip status error active
 142.015386 CAN 2 Status:chip status error active
 143.015387 CAN 1 Status:chip status error active
 143.015387 CAN 2 Status:chip status error active
 144.015387 CAN 1 Status:chip status error active
 144.015387 CAN 2 Status:chip status error active
 145.015387 CAN 1 Status:chip status error active
 145.015387 CAN 2 Status:chip status error active
 146.015387 CAN 1 Status:chip status error active
 146.015387 CAN 2 Status:chip status error active
 147.015388 CAN 1 Status:chip status error active
 147.015388 CAN 2 Status:chip status error active
 148.015388 CAN 1 Status:chip status error active
 148.015388 CAN 2 Status:chip status error active
 149.015388 CAN 1 Status:chip status error active
 149.015388 CAN 2 Status:chip status error active
 150.015389 CAN 1 Status:chip status error active
 150.015389 CAN 2 Status:chip status error active
 151.015389 CAN 1 Status:chip status error active
 151.015389 CAN 2 Status:chip status error active
 152.015389 CAN 1 Status:chip status error active
 152.015389 CAN 2 Status:chip status error active
 153.015390 CAN 1 Status:chip status error active
 153.015390 CAN 2 Status:chip status error active
 154.015390 CAN 1 Status:chip status error active
 154.015390 CAN 2 Status:chip status error active
 155.015390 CAN 1 Status:chip status error active
 155.015390 CAN 2 Status:chip status error active
 156.015391 CAN 1 Status:chip status error active
 156.015391 CAN 2 Status:chip status error active
 157.015391 CAN 1 Status:chip status error active
 157.015391 CAN 2 Status:chip status error active
 158.015391 CAN 1 Status:chip status error active
 158.015391 CAN 2 Status:chip status error active
 159.015392 CAN 1 Status:chip status error active
 159.015392 CAN 2 Status:chip status error active
 160.015392 CAN 1 Status:chip status error active
 160.015392 CAN 2 Status:chip status error active
 161.015392 CAN 1 Status:chip status error active
 161.015392 CAN 2 Status:chip status error active
 162.015392 CAN 1 Status:chip status error active
 162.015392 CAN 2 Status:chip status error active
 163.015393 CAN 1 Status:chip status error active
 163.015393 CAN 2 Status:chip status error active
 164.015393 CAN 1 Status:chip status error active
 164.015393 CAN 2 Status:chip status error active
 165.015393 CAN 1 Status:chip status error active
 165.015393 CAN 2 Status:chip status error active
 166.015394 CAN 1 Status:chip status error active
 166.015394 CAN 2 Status:chip status error active
 167.015394 CAN 1 Status:chip status error active
 167.015394 CAN 2 Status:chip status error active
 168.015394 CAN 1 Status:chip status error active
 168.015394 CAN 2 Status:chip status error active
 169.015395 CAN 1 Status:chip status error active
 169.015395 CAN 2 Status:chip status error active
 170.015395 CAN 1 Status:chip status error active
 170.015395 CAN 2 Status:chip status error active
 171.015395 CAN 1 Status:chip status error active
 171.015395 CAN 2 Status:chip status error active
 172.015396 CAN 1 Status:chip status error active
 172.015396 CAN 2 Status:chip status error active
 173.015396 CAN 1 Status:chip status error active
 173.015396 CAN 2 Status:chip status error active
 174.015396 CAN 1 Status:chip status error active
 174.015396 CAN 2 Status:chip status error active
 175.015397 CAN 1 Status:chip status error active
 175.015397 CAN 2 Status:chip status error active
 176.015397 CAN 1 Status:chip status error active
 176.015397 CAN 2 Status:chip status error active
 177.015397 CAN 1 Status:chip status error active
 177.015397 CAN 2 Status:chip status error active
 178.015397 CAN 1 Status:chip status error active
 178.015397 CAN 2 Status:chip status error active
 179.015398 CAN 1 Status:chip status error active
 179.015398 CAN 2 Status:chip status error active
 180.015398 CAN 1 Status:chip status error active
 180.015398 CAN 2 Status:chip status error active
 181.015398 CAN 1 Status:chip status error active
 181.015398 CAN 2 Status:chip status error active
 182.015399 CAN 1 Status:chip status error active
 182.015399 CAN 2 Status:chip status error active
 183.015399 CAN 1 Status:chip status error active
 183.015399 CAN 2 Status:chip status error active
 184.015399 CAN 1 Status:chip status error active
 184.015399 CAN 2 Status:chip status error active
 185.015400 CAN 1 Status:chip status error active
 185.015400 CAN 2 Status:chip status error active
 186.015400 CAN 1 Status:chip status error active
 186.015400 CAN 2 Status:chip status error active
 187.015400 CAN 1 Status:chip status error active
 187.015400 CAN 2 Status:chip status error active
 188.015401 CAN 1 Status:chip status error active
 188.015401 CAN 2 Status:chip status error active
 189.015401 CAN 1 Status:chip status error active
 189.015401 CAN 2 Status:chip status error active
 190.015401 CAN 1 Status:chip status error active
 190.015401 CAN 2 Status:chip status error active
 191.015402 CAN 1 Status:chip status error active
 191.015402 CAN 2 Status:chip status error active
 192.015402 CAN 1 Status:chip status error active
 192.015402 CAN 2 Status:chip status error active
 193.015402 CAN 1 Status:chip status error active
 193.015402 CAN 2 Status:chip status error active
 194.015402 CAN 1 Status:chip status error active
 194.015402 CAN 2 Status:chip status error active
 195.015403 CAN 1 Status:chip status error active
 195.015403 CAN 2 Status:chip status error active
 196.015403 CAN 1 Status:chip status error active
 196.015403 CAN 2 Status:chip status error active
 197.015403 CAN 1 Status:chip status error active
 197.015403 CAN 2 Status:chip status error active
 198.015404 CAN 1 Status:chip status error active
 198.015404 CAN 2 Status:chip status error active
 199.015404 CAN 1 Status:chip status error active
 199.015404 CAN 2 Status:chip status error active
 200.015404 CAN 1 Status:chip status error active
 200.015404 CAN 2 Status:chip status error active
 201.015405 CAN 1 Status:chip status error active
 201.015405 CAN 2 Status:chip status error active
 202.015405 CAN 1 Status:chip status error active
 202.015405 CAN 2 Status:chip status error active
 203.015405 CAN 1 Status:chip status error active
 203.015405 CAN 2 Status:chip status error active
 203.331973 2  ErrorFrame	Flags = 0xfffe	CodeExt = 0x20a2	Code = 0x82	ID = 0	DLC = 0	Position = 5	Length = 59375
 203.331981 CAN 2 Status:chip status error active  - TxErr: 0 RxErr: 1
 203.333249 CAN 2 Status:chip status error active
 203.333322 2  43D             Rx   d 8 1D 02 02 00 00 14 00 00  Length = 1179426 BitCount = 122 ID = 1085
 203.337749 2  ErrorFrame	Flags = 0xfffe	CodeExt = 0x20aa	Code = 0x82	ID = 0x367	DLC = 8	Position = 46	Length = 509375	Data = 0xff  0  0x1  0  0  0x14  0  0
 203.337756 CAN 2 Status:chip status error active  - TxErr: 0 RxErr: 1
 203.339016 CAN 2 Status:chip status error active
 203.339089 2  367             Rx   d 8 FF 00 00 00 7E F0 01 00  Length = 1169426 BitCount = 121 ID = 871
 203.340329 2  400             Rx   d 8 00 02 01 04 04 04 00 00  Length = 1199441 BitCount = 124 ID = 1024
 203.342799 2  5A7             Rx   d 8 60 19 00 00 00 00 00 00  Length = 1169426 BitCount = 121 ID = 1447
 203.344149 2  5A9             Rx   d 8 00 00 00 00 00 00 00 00  Length = 1219426 BitCount = 126 ID = 1449
 203.345689 2  69E             Rx   d 4 40 00 01 02  Length = 809434 BitCount = 85 ID = 1694
 203.348299 2  381             Rx   d 6 00 00 00 00 00 00  Length = 1029430 BitCount = 107 ID = 897
 203.349179 2  531             Rx   d 4 00 00 10 10  Length = 829434 BitCount = 87 ID = 1329
 203.351639 2  69E             Rx   d 2 14 42  Length = 599446 BitCount = 64 ID = 1694
 203.358459 2  397             Rx   d 8 00 00 00 00 00 00 00 00  Length = 1199426 BitCount = 124 ID = 919
 203.359508 2  4B9             Rx   d 6 00 00 00 00 00 00  Length = 1009430 BitCount = 105 ID = 1209
 203.360748 2  591             Rx   d 8 00 00 08 00 00 00 00 00  Length = 1199426 BitCount = 124 ID = 1425
 203.368278 2  4BD             Rx   d 6 00 00 00 00 00 00  Length = 999430 BitCount = 104 ID = 1213
 203.369478 2  658             Rx   d 8 60 28 00 07 00 8F 00 00  Length = 1159426 BitCount = 120 ID = 1624
 203.378268 2  3B5             Rx   d 6 01 00 00 00 00 00  Length = 999430 BitCount = 104 ID = 949
 203.378937 2  5D1             Rx   d 2 10 00  Length = 629442 BitCount = 67 ID = 1489
 203.382898 2  43D             Rx   d 8 00 01 02 04 00 14 00 00  Length = 1179441 BitCount = 122 ID = 1085
 203.388458 2  470             Rx   d 8 40 02 00 64 00 00 00 15  Length = 1169426 BitCount = 121 ID = 1136
 203.398497 2  2C1             Rx   d 6 00 00 00 00 02 00  Length = 1009430 BitCount = 105 ID = 705
 203.399377 2  531             Rx   d 4 00 00 20 20  Length = 829434 BitCount = 87 ID = 1329
 203.400527 2  651             Rx   d 8 80 02 50 AF 39 59 01 00  Length = 1109430 BitCount = 115 ID = 1617
 203.403987 2  67C             Rx   d 2 1C 42  Length = 609446 BitCount = 65 ID = 1660
 203.408447 2  359             Rx   d 8 FF 89 FF 00 10 6B 80 00  Length = 1149426 BitCount = 119 ID = 857
 203.418436 2  35B             Rx   d 8 0F 00 00 00 20 19 0C 00  Length = 1169426 BitCount = 121 ID = 859
 203.419176 2  457             Rx   d 3 00 47 00  Length = 699442 BitCount = 74 ID = 1111
 203.426636 2  62A             Rx   d 8 40 10 00 00 00 00 00 00  Length = 1179426 BitCount = 122 ID = 1578
 203.428126 2  679             Rx   d 4 40 00 01 1E  Length = 799449 BitCount = 84 ID = 1657
 203.429346 2  400             Rx   d 8 1D 01 01 04 04 04 00 00  Length = 1179426 BitCount = 122 ID = 1024
 203.430546 2  35B             Rx   d 8 0E 00 00 00 20 19 0C 00  Length = 1159426 BitCount = 120 ID = 859
 203.431765 2  367             Rx   d 8 FC 00 00 00 7E F0 01 00  Length = 1179426 BitCount = 122 ID = 871
 203.432965 2  359             Rx   d 8 FF 89 FF 00 00 6B 80 00  Length = 1159441 BitCount = 120 ID = 857
 203.434165 2  35B             Rx   d 8 06 00 00 00 20 19 0C 00  Length = 1159426 BitCount = 120 ID = 859
 203.435365 2  35B             Rx   d 8 04 00 00 00 20 19 0C 00  Length = 1159426 BitCount = 120 ID = 859
 203.436575 2  35B             Rx   d 8 00 00 00 00 20 19 08 00  Length = 1169426 BitCount = 121 ID = 859
 203.437795 2  58C             Rx   d 8 80 00 B6 C0 00 00 00 04  Length = 1179426 BitCount = 122 ID = 1420
 203.438435 2  69E             Rx   d 2 19 42  Length = 599446 BitCount = 64 ID = 1694
 203.439655 2  369             Rx   d 8 3D 00 00 D0 FF 00 00 00  Length = 1179426 BitCount = 122 ID = 873
 203.440865 2  470             Rx   d 8 40 02 00 64 00 00 00 15  Length = 1169426 BitCount = 121 ID = 1136
 203.441615 2  635             Rx   d 3 00 00 1D  Length = 709453 BitCount = 75 ID = 1589
 203.442825 2  679             Rx   d 8 07 42 03 00 1D 00 04 00  Length = 1169426 BitCount = 121 ID = 1657
 203.448315 2  381             Rx   d 6 00 00 00 00 00 00  Length = 1029445 BitCount = 107 ID = 897
 203.449175 2  531             Rx   d 4 00 00 30 30  Length = 809434 BitCount = 85 ID = 1329
 203.452825 2  5A7             Rx   d 8 E0 19 00 00 00 00 00 00  Length = 1179426 BitCount = 122 ID = 1447
 203.458455 2  397             Rx   d 8 00 00 00 00 00 00 00 00  Length = 1199426 BitCount = 124 ID = 919
 203.459505 2  4B9             Rx   d 6 00 00 00 00 00 00  Length = 1009430 BitCount = 105 ID = 1209
 203.460755 2  5F5             Rx   d 8 00 10 00 00 00 00 00 00  Length = 1209441 BitCount = 125 ID = 1525
 203.468284 2  4BD             Rx   d 6 00 00 00 00 00 00  Length = 999445 BitCount = 104 ID = 1213
 203.469484 2  658             Rx   d 8 60 28 00 07 00 8F 00 00  Length = 1159426 BitCount = 120 ID = 1624
 203.470724 2  3E1             Rx   d 8 80 00 00 00 00 00 04 F8  Length = 1199426 BitCount = 124 ID = 993
 203.471894 2  61A             Rx   d 8 6D 01 80 00 23 30 FF 00  Length = 1129430 BitCount = 117 ID = 1562
 203.473144 2  3E3             Rx   d 8 00 00 FF 00 00 00 00 00  Length = 1209426 BitCount = 125 ID = 995
 203.474364 2  43D             Rx   d 8 00 01 02 04 00 14 00 00  Length = 1179426 BitCount = 122 ID = 1085
 203.475584 2  3E9             Rx   d 8 FE F8 DF FF 00 00 00 00  Length = 1179441 BitCount = 122 ID = 1001
 203.476844 2  40C             Rx   d 8 0C 02 01 04 00 04 00 00  Length = 1199441 BitCount = 124 ID = 1036
